Outlet,Full URL,Twitter handle,Short URL
NPR,npr.org,(at)NPR,n.pr/
The New York Times,nytimes.com,(at)nytimes,nyti.ms/
Wall Street Journal,wsj.com,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com,(at)HuffingtonPost,huff.to/
Reuters,reuters.com,(at)Reuters,reut.rs/
Bloomberg,bloomberg.com,(at)Bloomberg,bloom.bg/
Fox News,foxnews.com,(at)FoxNews,fxn.ws/
CNN,cnn.com,"(at)CNN, (at)cnnbrk",cnn.it/
Gawker,gawker.com,(at)Gawker,gaw.kr/
USA Today,usatoday.com,(at)USATODAY,usat.ly
Los Angeles Times,latimes.com,(at)latimes,lat.ms/
Vox,vox.com,(at)voxdotcom,bit.ly/
Vice News,news.vice.com,(at)vicenews,bit.ly/
Chicago Tribune,chicagotribune.com,(at)chicagotribune,trib.in/
Boston Globe,bostonglobe.com,(at)BostonGlobe,bos.gl/
BBC,bbc.com,"(at)BBC, (at)BBCBreaking",bbc.in/
Al-Jazeera (English),america.aljazeera.com,(at)AJEnglish,aje.io/
Associated Press,ap.org,(at)AP,apne.ws/
Mother Jones,motherjones.com,(at)MotherJones,mojo.ly/
Politico,politico.com,(at)politico,politi.co/
CBS News,cbsnews.com,(at)CBSNews,cbsn.ws/
The Guardian,theguardian.com,(at)guardian,t.gu.com/
NBC News,nbcnews.com,(at)NBCNews,nbcnews.to/
Education Week,edweek.org,(at)educationweek,bit.ly/
The Atlantic,theatlantic.com,(at)TheAtlantic,theatln.tc/
Slate,slate.com,(at)Slate,slate.me/
TechCrunch,techcrunch.com,(at)TechCrunch,tcrn.ch/
Re/code,recode.net,(at)Recode,on.recode.net/
Slashdot,slashdot.org,(at)slashdot,bit.ly/
Variety,variety.com,(at)Variety,bit.ly/
Entertainment Weekly,ew.com,(at)EW,ow.ly/
Vanity Fair,vanityfair.com,(at)VanityFair,vntyfr.com/
The Hollywood Reporter,hollywoodreporter.com,(at)THR,thr.cm/
The A.V. Club,avclub.com,(at)TheAVClub,avc.lu/
Pitchfork,pitchfork.com,(at)pitchfork,p4k.co/
ESPN,espn.go.com,(at)espn,es.pn/
Fox Sports,foxsports.com,(at)FOXSports,foxs.pt/
SB Nation,sbnation.com,(at)SBNation,sbnation.com
The Verge,theverge.com,(at)verge,theverge.com
Eater,eater.com,(at)Eater,eater.com
Kiplinger,kiplinger.com,(at)Kiplinger,ow.ly/
MarketWatch,marketwatch.com,(at)MarketWatch,on.mktw.net/
Buzzfeed,buzzfeed.com,"(at)BuzzFeed, (at)BuzzFeedNews",bzfd.it/
CNNMoney,money.cnn.com,(at)CNNMoney,cnnmon.ie/
The Independent,independent.co.uk,(at)Independent,ind.pn/
The Hill,thehill.com,(at)thehill,hill.cm/
RealClearPolitics,realclearpolitics.com,(at)RealClearNews,bit.ly/
Engadget,engadget.com,(at)engadget,engt.co/
Ars Technica,arstechnica.com,(at)arstechnica,trib.al/
The Intercept,theintercept.com,(at)the_intercept,interc.pt/
Wired,wired.com,(at)WIRED,wrd.cm/
National Geographic,news.nationalgeographic.com,(at)NatGeo,on.natgeo.com/
Quartz,qz.com,(at)qz,qz.com
Billboard,billboard.com,(at)billboard,blbrd.cm/
Rolling Stone,rollingstone.com,(at)RollingStone,rol.st/
Stereogum,stereogum.com,(at)stereogum,bit.ly/
Spin,spin.com,(at)SPINmagazine,go.spin.com
ABC News,abcnews.com,(at)ABC,abcn.ws/
Bing News,bing.com/news,(at)bing,bingit.ms/
The Christian Post,christianpost.com,(at)ChristianPost,bit.ly/
Houston Chronicle,chron.com,(at)HoustonChron,bit.ly/
Christian Science Monitor,CSMonitor.com,(at)csmonitor,trib.al/
Discovery News,news.discovery.com,(at)DNews,dne.ws/
Economist,economist.com,(at)TheEconomist,econ.st/
Examiner.com,examiner.com,(at)examinercom,exm.nr/
Google News Search,news.google.com,"(at)googlenews - inactive, (at)google",goo.gl/
MSNBC,msnbc.com,(at)MSNBC,on.msnbc.com/
Newsday,newsday.com,(at)Newsday,nwsdy.li/
Newsmax,newsmax.com,(at)Newsmax_Media,ift.tt/
Newsweek,newsweek.com,(at)Newsweek,bit.ly/
PBS,pbs.org,(at)PBS,to.pbs.org
Scientific American,scientificamerican.com,(at)sciam,bit.ly/
San Francisco Chronicle,SFGATE.com,(at)SFGate,sfg.ly/
Smithsonian Magazine,smithsonianmag.com,(at)SmithsonianMag,smithmag.co/
The Telegraph,telegraph.co.uk,(at)Telegraph,bit.ly/
Time,time.com,(at)TIME,ti.me/
Village Voice,villagevoice.com,(at)villagevoice,bit.ly/
Washington Examiner,washingtonexaminer.com,(at)dcexaminer,washex.am/
Washington Times,washingtontimes.com,(at)WashTimes,goo.gl/
World News Network,WN.com,(at)worldnewsdotcom,wn.com/
Yahoo News,news.yahoo.com,(at)YahooNews,yhoo.it/
Bleacher Report,bleacherreport.com,(at)BleacherReport,ble.ac/
Yahoo Sports,sports.yahoo.com,(at)YahooSports,yhoo.it/
Yahoo Finance,finance.yahoo.com,(at)YahooFinance,yhoo.it/
Mic,mic.com,(at)micnews,bit.ly/
The Nation,thenation.com,(at)thenation,thenat.in/
Colorlines.com,colorlines.com,(at)Colorlines,ow.ly/
Vulture,vulture.com,(at)vulture,vult.re/
AllAfrica.com,allafrica.com,(at)allafrica,bit.ly/
Splitsider,splitsider.com,(at)Splitsider,
AdWeek,adweek.com,(at)Adweek,adweek.it/
Poynter,poynter.org,(at)Poynter,goo.gl/
The Root,theroot.com,(at)TheRoot,buff.ly/
Fusion,fusion.net,"(at)ThisIsFusion, (at)FusionNews",fus.in/
Univision,univision.com,(at)Univision,uni.vi/
China Daily,usa.chinadaily.com.cn,(at)ChinaDailyUSA,ow.ly/
Daily Mail,dailymail.co.uk,(at)MailOnline,dailym.ai/
Agence France-Presse,afp.com/en,(at)AFP,u.afp.com
People,people.com,(at)people,peoplem.ag/
Fortune,fortune.com,(at)FortuneMagazine,for.tn/
Money,money.com,(at)MONEY,money.us/
Sports Illustrated,si.com,(at)SInow,on.si.com/
Food & Wine Magazine,foodandwine.com,(at)foodandwine,fandw.me/
Essence,essence.com,(at)essencemag,trib.al/
New York Magazine,nymag.com,(at)NYMag,nym.ag/
HitFix,hitfix.com,(at)HitFix,fw.to/
New Republic,newrepublic.com,(at)NewRepublic,bit.ly/
The Week,theweek.com,(at)TheWeek,bit.ly/
American Banker,americanbanker.com,(at)AmerBanker,bit.ly/
TV Guide,tvguide.com,(at)TVGuide,tvgd.co/
Marketplace,marketplace.org,(at)Marketplace,mktplc.org/
Kaiser Health News,khn.org,(at)KHNews,khn.ews/
Grist,grist.org,(at)grist,bit.ly/
Columbia Journalism Review,cjr.org,(at)CJR,cjr.bz/
National Journal,nationaljournal.com,(at)nationaljournal,njour.nl/
ThinkProgress,thinkprogress.org,(at)thinkprogress,thkpr.gs/
Ebony Magazine,ebony.com,(at)EBONYMag,ow.ly/
Women's Health,womenshealthmag.com,(at)WomensHealthMag,spr.ly/
Congressional Quarterly,cq.com,(at)CQNow,cqnow.co/
PRI,pri.org,(at)PRI,trib.al/
Roll Call,rollcall.com,(at)rollcall,roll.cl/
American Press Institute,americanpressinstitute.org,(at)AmPress,j.mp/
Fast Company,fastcompany.com,(at)FastCompany,f-st.co/
Mashable,mashable.com,(at)mashable,on.mash.to/
NY Daily News,nydailynews.com,(at)NYDailyNews,nydn.us/
New York Post,nypost.com,(at)nypost,nyp.st/
Daily Mirror,mirror.co.uk,(at)DailyMirror,bit.ly/
Detroit Free Press,freep.com,(at)freep,on.freep.com/
Dallas Morning News,dallasnews.com,(at)dallasnews,d-news.com
AZCentral,azcentral.com,(at)azcentral,azc.cc/
Cleveland.com,cleveland.com,(at)clevelanddotcom,s.cleveland.com
Oregonian,oregonlive.com,(at)Oregonian,Orne.ws/
SeattleTimes.com,seattletimes.com,(at)seattletimes,seati.ms/
New Orleans Times-Picayune,nola.com,(at)NOLAnews,s.nola.com/
OrlandoSentinel.com,orlandosentinel.com,(at)orlandosentinel,thesent.nl/
Forbes,forbes.com,(at)Forbes,onforb.es/
The Daily Beast,thedailybeast.com,(at)thedailybeast,thebea.st/
ProPublica,propublica.org,(at)ProPublica,propub.ca/
Financial Times,ft.com,(at)FinancialTimes,on.ft.com/
The New Yorker,newyorker.com,(at)NewYorker,nyer.cm/
US News & World Report,usnews.com,(at)usnews,trib.al/
Drudge Report,drudgereport.com,(at)DRUDGE_REPORT,
CNBC,cnbc.com,(at)CNBC,cnb.cx/
National Review,nationalreview.com,(at)NRO,natl.re/
Townhall,townhall.com,(at)townhallcom,ow.ly/
CBS Sports,cbssports.com/,(at)CBSSports,cbsprt.co/
NBC Sports,nbcsports.com/,(at)NBCSports,tw.nbcsports.com/
Fox Business,foxbusiness.com,(at)FoxBusiness,fxn.ws/
