Outlet,Full URL,Twitter Handles,Short URL
Village Voice,villagevoice.com,(at)villagevoice,bit.ly/
Mic,mic.com,(at)micnews,bit.ly/
New York Magazine,nymag.com,(at)nymag,nym.ag/
Fast Company,fastcompany.com,(at)FastCompany,f-st.co/
The New Yorker,newyorker.com,(at)NewYorker,nyer.cm/
NPR,npr.org/sections/art-design,(at)NPR,n.pr/
The New York Times,nytimes.com/pages/arts/design,(at)nytimesarts,nyti.ms/
Wall Street Journal,wsj.com/public/page/magazine-design,(at)WSJMag,on.wsj.com/
Washington Post,washingtonpost.com/news/arts-and-entertainment,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com/news/art-and-design,(at)HuffingtonPost,huff.to/
Los Angeles Times,latimes.com/entertainment/arts,(at)latimes,lat.ms/
Chicago Tribune,chicagotribune.com/entertainment,(at)chicagotribune,trib.in/
Boston Globe,bostonglobe.com/arts/theater-art,(at)BostonGlobeArts,bos.gl/
BBC,bbc.co.uk/arts,(at)bbcarts,bbc.in/
The Guardian,theguardian.com/artanddesign,(at)guardian,t.gu.com/
The Hollywood Reporter,hollywoodreporter.com,(at)THR,thr.cm/
The Verge,theverge.com,(at)verge,theverge.com
The Independent,independent.co.uk/arts-entertainment/art,(at)Independent,ind.pn/
Wired,wired.com/category/design,(at)WIRED,wrd.cm/
PBS,pbs.org/arts,(at)PBS,to.pbs.org
Smithsonian Magazine,smithsonianmag.com/arts-culture/art,(at)SmithsonianMag,smithmag.co/
The Telegraph,telegraph.co.uk/art/,(at)Telegraph,bit.ly/
China Daily,usa.chinadaily.com.cn/culture/art,(at)ChinaDailyUSA,ow.ly/
PRI,pri.org/sections/arts-culture-media,(at)PRI,trib.al/
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
