Outlet,Full URL,Twitter Handle,Short URL
NPR,npr.org,(at)NPR,n.pr/
The New York Times,nytimes.com,(at)nytimes,nyti.ms/
Wall Street Journal,wsj.com,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com,(at)washingtonpost,wapo.st/
Reuters,reuters.com,(at)reuters,reut.rs/
Fox News,foxnews.com,(at)foxnews,fxn.ws/
CNN,cnn.com,"(at)CNN, (at)cnnbrk",cnn.it/
BBC,bbc.com,"(at)BBC, (at)BBCBreaking",bbc.in/
Al-Jazeera (English),america.aljazeera.com,(at)AJEnglish,aje.io/
Associated Press,ap.org,(at)AP,apne.ws/
CBS News,cbsnews.com,(at)CBSNews,cbsn.ws/
The Guardian,theguardian.com,(at)guardian,trib.al/
NBC News,nbcnews.com,(at)NBCNews,nbcnews.to/
Buzzfeed,buzzfeed.com,"(at)BuzzFeed, (at)BuzzFeedNews",bzfd.it/
Google News Search,news.google.com,"(at)googlenews - inactive, (at)google",bit.ly/
Time,time.com,(at)TIME,ti.me/
Daily Mail,dailymail.co.uk,(at)MailOnline,dailym.ai/
Agence France-Presse,afp.com/en,(at)AFP,u.afp.com
NY Daily News,nydailynews.com,(at)NYDailyNews,nydn.us/
New York Post,nypost.com,(at)nypost,nyp.st/
ABC News,abcnews.com,(at)ABC,abcn.ws/
