Outlet,Full URL,Twitter Handle,Short URL
Bloomberg,bloomberg.com,(at)Bloomberg,bloom.bg/
The Atlantic,theatlantic.com,(at)TheAtlantic,theatln.tc/
Kiplinger's,kiplinger.com,(at)Kiplinger,ow.ly/
MarketWatch,marketwatch.com,(at)MarketWatch,on.mktw.net/
CNNMoney,money.cnn.com,(at)CNNMoney,cnnmon.ie/
Wired,wired.com,(at)WIRED,wrd.cm/
Quartz,qz.com,(at)qz,qz.com
Economist,economist.com,(at)TheEconomist,econ.st/
Yahoo Finance,finance.yahoo.com,(at)YahooFinance,yhoo.it/
The Nation,thenation.com,(at)thenation,thenat.in/
AdWeek,adweek.com,(at)Adweek,adweek.it/
Fortune,fortune.com,(at)FortuneMagazine,for.tn/
Money,money.com,(at)MONEY,money.us/
The Week,theweek.com,(at)theweek,bit.ly/
American Banker,americanbanker.com,(at)AmerBanker,bit.ly/
Marketplace,marketplace.org,(at)Marketplace,mktplc.org/
Fast Company,fastcompany.com,(at)FastCompany,f-st.co/
Forbes,forbes.com,(at)Forbes,onforb.es/
Financial Times,ft.com,(at)FinancialTimes,on.ft.com/
CNBC,cnbc.com,(at)CNBC,cnb.cx/
National Review,nationalreview.com,(at)NRO,natl.re/
Townhall,townhall.com,(at)townhallcom,ow.ly/
NPR,npr.org/sections/business,(at)NPR,n.pr/
The New York Times,nytimes.com/pages/business,(at)nytimes,nyti.ms/
Wall Street Journal,wsj.com/news/business,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com/business,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com/business,(at)HuffingtonPost,huff.to/
Reuters,reuters.com/finance,(at)Reuters,reut.rs/
Fox Business,foxbusiness.com,(at)FoxBusiness,fxn.ws/
USA Today,usatoday.com/money,(at)USATODAY,usat.ly
Vox,vox.com/business-and-finance,(at)voxdotcom,bit.ly/
Chicago Tribune,chicagotribune.com/business,(at)chicagotribune,trib.in/
Boston Globe,bostonglobe.com/business,(at)BostonGlobe,bos.gl/
BBC,bbc.com/news/business,"(at)BBCBusiness, (at)BBCWorldBiz",bbc.in/
Al-Jazeera (English),aljazeera.com/topics/categories/business,(at)AJEnglish,aje.io/
Associated Press,ap.org,(at)APBusiness,apne.ws/
CBS News,cbsnews.com/moneywatch,(at)CBSMoneyWatch,cbsn.ws/
The Guardian,theguardian.com/us/business,(at)BusinessDesk,t.gu.com/
NBC News,nbcnews.com/business,(at)NBCNews,nbcnews.to/
Slate,slate.com/articles/business,(at)Slate,slate.me/
Buzzfeed,buzzfeed.com/business,"(at)BuzzFeed, (at)BuzzFeedNews",bzfd.it/
The Independent,independent.co.uk/news/business,(at)Independent,ind.pn/
ABC News,abcnews.go.com/Business,(at)ABC,abcn.ws/
Christian Science Monitor,csmonitor.com/Business,(at)csmonitor,trib.al/
Newsmax,newsmax.com/Finance,(at)Newsmax_Media,ift.tt/
Newsweek,newsweek.com/business,(at)Newsweek,bit.ly/
San Francisco Chronicle,sfgate.com/business,(at)SFGate,sfg.ly/
The Telegraph,telegraph.co.uk/finance,(at)Telegraph,bit.ly/
Time,time.com/business,(at)TIME,ti.me/
Washington Times,washingtontimes.com/news/business-economy,(at)WashTimes,goo.gl/
