Outlet,Full URL,Twitter Handle,Short URL
Education Week,edweek.org,(at)educationweek,bit.ly/
Scientific American,scientificamerican.com,(at)sciam,bit.ly/
US News & World Report,usnews.com/education,(at)usnews,trib.al/
NPR,npr.org/sections/ed/,(at)npr_ed,n.pr/
New York Times,nytimes.com/pages/education,(at)nytimes,nyti.ms/
Washington Post,washingtonpost.com/local/education,(at)washingtonpost,wapo.st/
Wall Street Journal,wsj.com/public/page/news-career-education-college,(at)WSJ,on.wsj.com/
Huffington Post,huffingtonpost.com/education,(at)HuffingtonPost,huff.to/
Fox News,foxnews.com/us/education,(at)FoxNews,fxn.ws/
Los Angeles Times,latimes.com/local/education,(at)LATeducation,fw.to/
BBC,bbc.com/news/education,(at)bbceducation,bbc.in/
Al-Jazeera (English),america.aljazeera.com/topics/topic/categories/education,(at)AJEnglish,aje.io/
NBC News,nbcnews.com/feature/education-nation,(at)NBCNews,nbcnews.to/
MSNBC,msnbc.com/education,(at)MSNBC,on.msnbc.com/
San Francisco Chronicle,sfgate.com/education,(at)SFGate,sfg.ly/
Univision,univision.com/noticias/educacion,(at)UniEducacion,uni.vi/
PRI,pri.org/sections/development-education,(at)PRI,trib.al/
NY Daily News,nydailynews.com/new-york/education,(at)NYDailyNews,nydn.us/
