Outlet,Full URL,Twitter Handles,Short URL
Gawker,gawker.com,(at)Gawker,gaw.kr/
Variety,variety.com,(at)Variety,bit.ly/
Entertainment Weekly,ew.com,(at)EW,ow.ly/
Vanity Fair,vanityfair.com,(at)VanityFair,vntyfr.com/
The Hollywood Reporter,hollywoodreporter.com,(at)THR,thr.cm/
The A.V. Club,avclub.com,(at)TheAVClub,avc.lu/
The Verge,theverge.com,(at)verge,theverge.com
Rolling Stone,rollingstone.com,(at)RollingStone,rol.st/
Village Voice,villagevoice.com,(at)villagevoice,bit.ly/
Vulture,vulture.com,(at)Vulture,vult.re/
Splitsider,splitsider.com,(at)splitsider,
People,people.com,(at)people,peoplem.ag/
Essence,essence.com,(at)essencemag,trib.al/
Entertainment Weekly,ew.com,(at)EW,ow.ly/
New York Magazine,nymag.com,(at)nymag,nym.ag/
HitFix,hitfix.com,(at)HitFix,fw.to/
TV Guide,tvguide.com,(at)TVGuide,tvgd.co/
Ebony Magazine,ebony.com,(at)EBONYMag,ow.ly/
Mashable,mashable.com,"(at)mashable, (at)mashentertain",on.mash.to/
Drudge Report,drudgereport.com,(at)DRUDGE_REPORT,
