Outlet,Full URL,Twitter handle,Short URL
NPR,npr.org,(at)NPR,n.pr/
The New York Times,nytimes.com,(at)nytimes,nyti.ms/
Wall Street Journal,wsj.com,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com,(at)HuffingtonPost,huff.to/
Reuters,reuters.com,(at)Reuters,reut.rs/
Fox News,foxnews.com,(at)foxnews,fxn.ws/
CNN,cnn.com,(at)CNN,cnn.it/
USA Today,usatoday.com,(at)USATODAY,usat.ly
Los Angeles Times,latimes.com,(at)latimes,lat.ms/
Chicago Tribune,chicagotribune.com,(at)chicagotribune,trib.in/
Boston Globe,bostonglobe.com,(at)BostonGlobe,bos.gl/
BBC,bbc.com,"(at)BBC, (at)BBCBreaking",bbc.in/
Al-Jazeera (English),america.aljazeera.com,(at)AJEnglish,aje.io/
Associated Press,ap.org,(at)AP,apne.ws/
CBS News,cbsnews.com,(at)CBSNews,cbsn.ws/
The Guardian,theguardian.com,(at)guardian,trib.al/
NBC News,nbcnews.com,(at)NBCNews,nbcnews.to/
Buzzfeed,buzzfeed.com,"(at)BuzzFeed, (at)BuzzFeedNews",bzfd.it/
The Independent,independent.co.uk,(at)Independent,ind.pn/
The Christian Post,christianpost.com,(at)ChristianPost,bit.ly/
Houston Chronicle,chron.com,(at)HoustonChron,bit.ly/
Christian Science Monitor,CSMonitor.com,(at)csmonitor,trib.al/
PBS,pbs.org,(at)PBS,to.pbs.org
The Telegraph,telegraph.co.uk,(at)Telegraph,bit.ly/
Univision,univision.com,(at)Univision,uni.vi/
Daily Mail,dailymail.co.uk,(at)MailOnline,dailym.ai/
Agence France-Presse,afp.com/en,(at)AFP,u.afp.com
