Outlet,Full URL,Twitter Handles,Short URL
Kaiser Health News,khn.org,(at)KHNews,khn.ews/
Women's Health,womenshealthmag.com,(at)WomensHealthMag,spr.ly/
New York Times Health section,nytimes.com/pages/health,(at)NYTHealth,nyti.ms/
Washington Post Health & Science section,washingtonpost.com/national/health-science,(at)PostHealthSci,wapo.st/scihealth
NPR ,npr.org/sections/health,(at)NPRHealth,n.pr/
Wall Street Journal,wsj.com/public/page/news-health,(at)WSJhealth,on.wsj.com/
Huffington Post,huffingtonpost.com/health-news,(at)HealthyLiving,huff.to/
Fox News,foxnews.com/health,(at)foxnewshealth,fxn.ws/
CNN,cnn.com/health,(at)cnnhealth,cnn.it/
Vox,vox.com/science-and-health,(at)voxdotcom,bit.ly/
Vice News,news.vice.com/topic/health,(at)vicenews,bit.ly/
BBC Health,bbc.com/news/health,(at)bbchealth,bbc.in/
CBS,cbsnews.com/health,(at)CBSHealth,cbsn.ws/
The Guardian,theguardian.com/society/health,(at)guardian,t.gu.com/
NBC,nbcnews.com/health,(at)NBCNewsHealth,nbcnews.to/
Buzzfeed,buzzfeed.com/health,(at)BuzzFeedHealth,bzfd.it/
The Independent,independent.co.uk/life-style/health-and-families/health-news,(at)Independent,ind.pn/
ABC,abcnews.go.com/Health,(at)ABCNewsHealth,abcn.ws/
Bing News,bing.com/news?q=health+news,(at)bing,bingit.ms/
Newsday,newsday.com/news/health,(at)NewsdayHealth,nwsdy.li/
Newsmax,newsmax.com/Health,(at)NewsmaxHealth,ift.tt/
PBS,pbs.org/topics/health,(at)PBS,to.pbs.org
Time,time.com/health,(at)TIMEHealth,ti.me/
Yahoo Health,yahoo.com/health,(at)YahooHealth,yhoo.it/
Univision,salud.univision.com/es,(at)UnivisionSalud,uni.vi/
Daily Mail,dailymail.co.uk/health,(at)DMAILhealth,dailym.ai/
ThinkProgress,thinkprogress.org/health/issue,(at)TPHealth,thkpr.gs/
PRI,pri.org/sections/health-medicine,(at)PRI,trib.al/
NY Daily News,nydailynews.com/life-style/health,(at)NYDailyNews,nydn.us/
The Daily Beast,thedailybeast.com/topics/health,(at)thedailybeast,thebea.st/
US News & World Report,health.usnews.com,(at)usnews,trib.al/
