Outlet,Full URL,Twitter Handles,Short URL
NPR,npr.org,(at)NPR,n.pr/
The New York Times,nytimes.com/pages/world,(at)nytimes,nyti.ms/
Wall Street Journal,wsj.com/news/world,(at)wsj,on.wsj.com/
Washington Post,washingtonpost.com/world,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com/theworldpost,(at)HuffingtonPost,huff.to/
Reuters,reuters.com/news/world,(at)Reuters,reut.rs/
Vice News,news.vice.com,(at)vicenews,bit.ly/
BBC,bbc.com,"(at)BBC, (at)BBCBreaking",bbc.in/
Al-Jazeera (English),america.aljazeera.com,(at)AJEnglish,aje.io/
Associated Press,ap.org,(at)AP,apne.ws/
The Guardian,theguardian.com/world,(at)guardian,trib.al/
The Intercept,theintercept.com,(at)the_intercept,interc.pt/
Economist,economist.com,(at)TheEconomist,econ.st/
The Telegraph,telegraph.co.uk/news/worldnews,(at)Telegraph,bit.ly/
Mic,mic.com,(at)micnews,bit.ly/
The Nation,thenation.com/world,(at)thenation,thenat.in/
AllAfrica.com,allafrica.com,(at)allafrica,bit.ly/
Fusion,fusion.net,"(at)ThisIsFusion, (at)FusionNews",fus.in/
Univision,univision.com,(at)Univision,uni.vi/
China Daily,usa.chinadaily.com.cn,(at)ChinaDailyUSA,ow.ly/
Daily Mail,dailymail.co.uk/news/worldnews,(at)MailOnline,dailym.ai/
Agence France-Presse,afp.com/en,(at)AFP,u.afp.com
The Week,theweek.com/section/world,(at)TheWeek,bit.ly/
ThinkProgress,thinkprogress.org/world/issue,(at)thinkprogress,thkpr.gs/
