Outlet,Full URL,Twitter Handle,Short URL
Vanity Fair,vanityfair.com,(at)VanityFair,vntyfr.com/
Eater,eater.com,(at)Eater,eater.com
National Geographic,news.nationalgeographic.com,(at)NatGeo,on.natgeo.com/
Smithsonian Magazine,smithsonianmag.com,(at)smithsonianmag,smithmag.co/
Village Voice,villagevoice.com,(at)villagevoice,bit.ly/
Food & Wine Magazine,foodandwine.com,(at)foodandwine,fandw.me/
Essence,essence.com,(at)essencemag,trib.al/
New York Magazine,nymag.com,(at)nymag,nym.ag/
The Daily Beast,thedailybeast.com,(at)thedailybeast,thebea.st/
US News & World Report,usnews.com,(at)usnews,trib.al/
NPR,npr.org/sections/arts,(at)NPR,n.pr/
The New York Times - fashion,nytimes.com/pages/fashion,,nyti.ms/
The New York Times - dining,nytimes.com/pages/dining,(at)nytfood,nyti.ms/
The New York Times - travel,nytimes.com/section/travel,(at)nytimestravel,nyti.ms/
Wall Street Journal,wsj.com/news/life,(at)WSJLife,on.wsj.com/
Washington Post,washingtonpost.com/lifestyle,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com/news/lifestyle,(at)HuffingtonPost,huff.to/
Reuters,reuters.com/news/lifestyle,(at)Reuters,reut.rs/
Fox News,foxnews.com/leisure,(at)FoxNews,fxn.ws/
CNN,cnn.com/living,"(at)CNN, (at)cnnbrk",cnn.it/
USA Today,usatoday.com/life,(at)USATODAY,usat.ly
Los Angeles Times,latimes.com/style,(at)latimes,lat.ms/
Chicago Tribune,chicagotribune.com/lifestyles,(at)chicagotribune,trib.in/
Boston Globe,bostonglobe.com/lifestyle,(at)BostonGlobe,bos.gl/
The Guardian,theguardian.com/lifeandstyle,(at)guardian,t.gu.com/
Buzzfeed,buzzfeed.com/life,(at)BuzzFeed,bzfd.it/
The Independent,independent.co.uk/life-style,(at)Independent,ind.pn/
ABC News,abcnews.go.com/Lifestyle,(at)ABC,abcn.ws/
Houston Chronicle,chron.com/life,(at)HoustonChron,bit.ly/
Christian Science Monitor,csmonitor.com/The-Culture/Family,(at)csmonitor,trib.al/
Examiner.com,examiner.com/lifestyle,(at)examinercom,exm.nr/
Newsday,newsday.com/lifestyle,(at)Newsday,nwsdy.li/
PBS,pbs.org/topics/health/lifestyle,(at)PBS,to.pbs.org
San Francisco Chronicle,sfchronicle.com/lifestyle,(at)SFGate,sfg.ly/
The Telegraph,telegraph.co.uk/lifestyle,(at)Telegraph,bit.ly/
Time,time.com/tag/lifestyle,(at)TIME,ti.me/
Washington Times,washingtontimes.com/culture/home-living,(at)WashTimes,goo.gl/
Mic,mic.com/style,(at)micnews,bit.ly/
Univision,univision.com/estilo-de-vida,(at)Univision,uni.vi/
China Daily,chinadaily.com.cn/life,(at)ChinaDailyUSA,ow.ly/
Daily Mail,dailymail.co.uk,(at)MailOnline,dailym.ai/
The Week,theweek.com/section/lifestyle,(at)TheWeek,bit.ly/
Ebony Magazine,ebony.com/life,(at)EBONYMag,ow.ly/
Women's Health,womenshealthmag.com,(at)WomensHealthMag,spr.ly/
PRI,pri.org/sections/lifestyle-belief,(at)PRI,trib.al/
NY Daily News,nydailynews.com/life-style,(at)NYDailyNews,nydn.us/
New York Post,nypost.com/living,(at)nypost,nyp.st/
