Outlet,Full URL,Twitter Handle,Short URL
The New York Times,nytimes.com,(at)nytimes,nyti.ms/
Wall Street Journal,wsj.com,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com,(at)washingtonpost,wapo.st/
Los Angeles Times,latimes.com,(at)latimes,lat.ms/
Chicago Tribune,chicagotribune.com,(at)chicagotribune,trib.in/
Boston Globe,bostonglobe.com,(at)BostonGlobe,bos.gl/
CBS News,cbsnews.com,(at)CBSNews,cbsn.ws/
NBC News,nbcnews.com,(at)NBCNews,nbcnews.to/
Houston Chronicle,chron.com,(at)HoustonChron,bit.ly/
Newsday,newsday.com,(at)Newsday,nwsdy.li/
San Francisco Chronicle,SFGATE.com,(at)SFGate,sfg.ly/
Washington Times,washingtontimes.com,(at)WashTimes,goo.gl/
NY Daily News,nydailynews.com,(at)NYDailyNews,nydn.us/
New York Post,nypost.com,(at)nypost,nyp.st/
Detroit Free Press,freep.com,(at)freep,on.freep.com/
Dallas Morning News,dallasnews.com,(at)dallasnews,d-news.com
AZCentral,azcentral.com,(at)azcentral,azc.cc/
Cleveland.com,cleveland.com,(at)clevelanddotcom,s.cleveland.com
Oregonian,oregonlive.com,(at)Oregonian,Orne.ws/
SeattleTimes.com,seattletimes.com,(at)seattletimes,seati.ms/
New Orleans Times-Picayune,nola.com,(at)NOLAnews,s.nola.com/
OrlandoSentinel.com,orlandosentinel.com,(at)orlandosentinel,thesent.nl/
