Outlet,Full URL,Twitter Handle,Short URL
The Hollywood Reporter,hollywoodreporter.com,(at)THR,thr.cm/
The Verge,theverge.com,(at)verge,theverge.com
AdWeek,adweek.com,(at)Adweek,adweek.it/
Poynter,poynter.org,(at)Poynter,goo.gl/
Columbia Journalism Review,cjr.org,(at)CJR,cjr.bz/
American Press Institute,americanpressinstitute.org,(at)AmPress,j.mp/
Mashable,mashable.com,(at)mashable,on.mash.to/
Variety,variety.com,(at)Variety,bit.ly/
The New York Times,nytimes.com/pages/business/media,(at)nytimes,nyti.ms/
Huffington Post,huffingtonpost.com/media/,(at)HuffingtonPost,huff.to/
Bloomberg,bloomberg.com/topics/media,(at)Bloomberg,bloom.bg/
Gawker,gawker.com,(at)Gawker,gaw.kr/
The Guardian,theguardian.com/us/media,(at)guardian,t.gu.com/
Buzzfeed,buzzfeed.com,(at)BuzzFeed,bzfd.it/
The Independent,independent.co.uk/news/media,(at)Independent,ind.pn/
New York Post,nypost.com/media,(at)nypost,nyp.st/
Wall Street Journal,wsj.com/news/business/media-marketing,(at)WSJ,on.wsj.com/
