Outlet,Full URL,Twitter Handle,Short URL
The New York Times,nytimes.com/pages/opinion,"(at)nytimes, (at)nytopinion",nyti.ms/
Wall Street Journal,wsj.com/news/opinion,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com/opinions,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com/news/opinion-pieces,(at)HuffingtonPost,huff.to/
Fox News,foxnews.com/opinion,(at)foxnews,fxn.ws/
Los Angeles Times,latimes.com/opinion,"(at)latimes, (at)latimesopinion",lat.ms/
Chicago Tribune,chicagotribune.com/news/opinion,(at)chicagotribune,trib.in/
Boston Globe,bostonglobe.com/opinion,"(at)BostonGlobe, (at)GlobeOpinion",bos.gl/
The Guardian,theguardian.com/tone/comment,"(at)guardian, (at)guardianopinion",trib.al/
Slate,slate.com,(at)Slate,slate.me/
The Independent,independent.co.uk/news/media/opinion,(at)Independent,ind.pn/
The Christian Post,christianpost.com/opinion,(at)ChristianPost,bit.ly/
Christian Science Monitor,csmonitor.com/Commentary/Opinion,(at)csmonitor,trib.al/
Newsday,newsday.com/opinion,(at)Newsday,nwsdy.li/
Newsweek,newsweek.com/opinion,(at)Newsweek,bit.ly/
San Francisco Chronicle,sfgate.com/opinion,(at)SFGate,sfg.ly/
The Telegraph,telegraph.co.uk/comment,(at)Telegraph,bit.ly/
Washington Times,washingtontimes.com/opinion,(at)WashTimes,goo.gl/
Univision,univision.com/noticias/opinion,(at)Univision,uni.vi/
Daily Mail,dailymail.co.uk/columnists,(at)MailOnline,dailym.ai/
The Week,theweek.com/section/opinion,(at)TheWeek,bit.ly/
NY Daily News,nydailynews.com/opinion,(at)NYDailyNews,nydn.us/
New York Post,nypost.com/opinion,(at)nypost,nyp.st/
Forbes,forbes.com/opinion,(at)Forbes,onforb.es/
National Review,nationalreview.com,(at)NRO,natl.re/
Townhall,townhall.com/columnists,(at)townhallcom,ow.ly/
