Outlet,Full URL,Twitter Handle,Short URL
NPR,npr.org/sections/politics,(at)NPR,n.pr/
The New York Times,nytimes.com/pages/politics,(at)nytimes,nyti.ms/
Wall Street Journal,wsj.com/news/politics,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com/politics,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com/politics,(at)HuffingtonPost,huff.to/
Reuters,reuters.com/politics,(at)Reuters,reut.rs/
Fox News,foxnews.com/politics,(at)FoxNews,fxn.ws/
Mother Jones,motherjones.com/politics,(at)MotherJones,bit.ly/
Politico,politico.com,(at)politico,politi.co/
The Atlantic,theatlantic.com,(at)theatlantic,theatln.tc/
The Independent,independent.co.uk,(at)Independent,ind.pn/
The Hill,thehill.com,(at)thehill,hill.cm/
RealClearPolitics,realclearpolitics.com,(at)RealClearNews,bit.ly/
Economist,economist.com,(at)TheEconomist,econ.st/
MSNBC,msnbc.com,(at)MSNBC,on.msnbc.com/
Washington Examiner,washingtonexaminer.com,(at)dcexaminer,washex.am/
Washington Times,washingtontimes.com,(at)WashTimes,goo.gl/
The Nation,thenation.com,(at)thenation,thenat.in/
New Republic,newrepublic.com,(at)NewRepublic,bit.ly/
The Week,theweek.com,(at)theweek,bit.ly/
National Journal,nationaljournal.com,(at)nationaljournal,njour.nl/
ThinkProgress,thinkprogress.org,(at)thinkprogress,thkpr.gs/
Congressional Quarterly,cq.com,(at)CQNow,cqnow.co/
Roll Call,rollcall.com,(at)rollcall,roll.cl/
Drudge Report,drudgereport.com,(at)DRUDGE_REPORT,
National Review,nationalreview.com,(at)NRO,natl.re/
Townhall,townhall.com,(at)townhallcom,ow.ly/
