Outlet,Full URL,Twitter Handles,Short URL
Vox,vox.com,(at)voxdotcom,bit.ly/
Mother Jones,motherjones.com,(at)MotherJones,mojo.ly/
The Verge,theverge.com,(at)verge,theverge.com
Wired,wired.com,(at)WIRED,wrd.cm/
National Geographic,news.nationalgeographic.com,(at)NatGeo,on.natgeo.com/
Discovery News,news.discovery.com,(at)DNews,dne.ws/
Economist,economist.com,(at)TheEconomist,econ.st/
Scientific American,scientificamerican.com,(at)sciam,bit.ly/
Smithsonian Magazine,smithsonianmag.com,(at)SmithsonianMag,smithmag.co/
Mic,mic.com,(at)micnews,bit.ly/
Grist,grist.org,(at)grist,bit.ly/
ThinkProgress,thinkprogress.org,(at)thinkprogress,thkpr.gs/
NPR,npr.org/sections/science,(at)nprscience,n.pr/
The New York Times,nytimes.com/section/science,(at)NYTScience,nyti.ms/
Washington Post,washingtonpost.com/national/health-science,(at)PostHealthSci,wapo.st/
Bloomberg,bloomberg.com/news/science-energy,(at)Bloomberg,bloom.bg/
Fox News,foxnews.com/science,(at)FoxNews,fxn.ws/
Vice News,vice.com/tag/science,(at)vicenews,bit.ly/
BBC,bbc.co.uk/science,(at)BBCScienceClub,bbc.in/
Al-Jazeera (English),aljazeera.com/topics/categories/science-and-technology,(at)AJEnglish,aje.io/
CBS News,cbsnews.com/tech,(at)CBSSciTech,cbsn.ws/
The Guardian,theguardian.com/science,(at)guardian,t.gu.com/
NBC News,nbcnews.com/science,(at)NBCNewsScience,nbcnews.to/
The Independent,independent.co.uk/news/science,(at)Independent,ind.pn/
Christian Science Monitor,csmonitor.com/Science,(at)csmonitor,trib.al/
Examiner.com,examiner.com/science-and-space,(at)examinercom,exm.nr/
Newsmax,newsmax.com/ScienceTechnology,(at)Newsmax_Media,ift.tt/
Newsweek,newsweek.com/topic/science,(at)Newsweek,bit.ly/
PBS,pbs.org/topics/science-nature,(at)PBS,to.pbs.org
The Telegraph,telegraph.co.uk/news/science,(at)Telegraph,bit.ly/
Time,time.com/science,(at)TIME,ti.me/
Yahoo News,news.yahoo.com/science,(at)YahooNews,yhoo.it/
Daily Mail,dailymail.co.uk/sciencetech,(at)MailOnline,dailym.ai/
The Week,theweek.com/section/science,(at)TheWeek,bit.ly/
PRI,pri.org/sections/science-tech-environment,(at)PRI,trib.al/
