Outlet,Full URL,Twitter Handles,Short URL
ESPN,espn.go.com,(at)ESPN,es.pn/
Fox Sports,foxsports.com,(at)FOXSports,foxs.pt/
SB Nation,sbnation.com,(at)SBNation,sbnation.com
Bleacher Report,bleacherreport.com,(at)BleacherReport,ble.ac/
Yahoo Sports,sports.yahoo.com,(at)YahooSports,yhoo.it/
Sports Illustrated,si.com,(at)Sinow,on.si.com/
The New York Times,nytimes.com/pages/sports,(at)nytimes,nyti.ms/
Washington Post,washingtonpost.com/sports,(at)PostSports,wapo.st/
Wall Street Journal,wsj.com/public/page/news-sports-scores,(at)WSJSports,on.wsj.com/
Huffington Post,huffingtonpost.com/sports,(at)HuffingtonPost,huff.to/
Reuters,reuters.com/news/sports,(at)ReutersSports,reut.rs/
CNN,edition.cnn.com/sport,(at)cnnsport,cnn.it/
USA Today,usatoday.com/sports,(at)USATODAYsports,usat.ly
Los Angeles Times,latimes.com/sports,(at)latimessports,lat.ms/
Chicago Tribune,chicagotribune.com/sports,(at)ChicagoSports,trib.in/
Boston Globe,bostonglobe.com/sports,(at)BGlobeSports,bos.gl/
BBC,bbc.com/sport,(at)BBCSport,bbc.in/
Al-Jazeera (English),aljazeera.com/topics/categories/sport,(at)AJEnglish,aje.io/
Associated Press,hosted.ap.org/dynamic/fronts/SPORTS,(at)AP_Sports,apne.ws/
Mother Jones,motherjones.com/topics/sports,(at)MotherJones,mojo.ly/
CBS Sports,cbssports.com,(at)CBSSports,cbsprt.co/
The Guardian,theguardian.com/us/sport,(at)guardian,t.gu.com/
NBC Sports,nbcsports.com,(at)NBCSports,tw.nbcsports.com/
Buzzfeed,buzzfeed.com/sports,(at)BuzzFeedSports,bzfd.it/
The Independent,independent.co.uk/sport,(at)Independent,ind.pn/
Rolling Stone,rollingstone.com/sports,(at)RollingStone,rol.st/
ABC News,abcnews.go.com/Sports,(at)ABC,abcn.ws/
Houston Chronicle,chron.com/sports,(at)HoustonChron,bit.ly/
Examiner.com,examiner.com/sports,(at)examinercom,exm.nr/
Newsday,newsday.com/sports,(at)NewsdaySports,nwsdy.li/
Newsweek,newsweek.com/sports,(at)Newsweek,bit.ly/
San Francisco Chronicle,sfgate.com/sports,(at)SFGateSports,sfg.ly/
The Telegraph,telegraph.co.uk/sport,(at)Telegraph,bit.ly/
Time,time.com/sports,(at)TIME,ti.me/
Washington Times,washingtontimes.com/sports,(at)WashTimes,goo.gl/
World News Network,wn.com/#/sport,(at)worldnewsdotcom,wn.com/
Univision,univision.com/deportes,(at)UnivisionSports,uni.vi/
China Daily,chinadaily.com.cn/sports,(at)ChinaDailyUSA,ow.ly/
Daily Mail,dailymail.co.uk/sport,(at)MailOnline,dailym.ai/
ThinkProgress,thinkprogress.org/sports,(at)thinkprogress,thkpr.gs/
NY Daily News,nydailynews.com/sports,(at)NYDNSports,nydn.us/
New York Post,nypost.com/sports,(at)nypostsports,nyp.st/
Daily Mirror,mirror.co.uk/sport,(at)DailyMirror,bit.ly/
Detroit Free Press,freep.com/sports,(at)freepsports,on.freep.com/
Dallas Morning News,dallasnews.com/sports,(at)dallasnews,d-news.com
AZCentral,azcentral.com/sports,(at)azcsports,azc.cc/
Cleveland.com,cleveland.com/sports,(at)clevelanddotcom,s.cleveland.com
Oregonian,oregonlive.com/sports,(at)OregonianSports,Orne.ws/
SeattleTimes.com,seattletimes.com/sports,(at)SeaTimesSports,seati.ms/
New Orleans Times-Picayune,nola.com/sports,(at)NOLAnews,s.nola.com/
OrlandoSentinel.com,orlandosentinel.com/sports,(at)orlandosports,thesent.nl/
