Outlet,Full URL,Twitter Handles,Short URL
Slashdot,slashdot.org,(at)slashdot,bit.ly/
The Verge,theverge.com,(at)verge,theverge.com
Engadget,engadget.com,(at)engadget,engt.co/
Ars Technica,arstechnica.com,(at)arstechnica,trib.al/
Wired,wired.com,(at)WIRED,wrd.cm/
The Economist,economist.com,(at)TheEconomist,econ.st/
Scientific American,scientificamerican.com,(at)sciam,bit.ly/
Mic,mic.com,(at)micnews,bit.ly/
TechCrunch,techcrunch.com,(at)TechCrunch,tcrn.ch/
Grist,grist.org,(at)grist,bit.ly/
Fast Company,fastcompany.com,(at)FastCompany,f-st.co/
Mashable,mashable.com,(at)mashable,on.mash.to/
New York Times,nytimes.com/pages/technology,(at)nytimes,nyti.ms/
NPR,npr.org/sections/technology,(at)NPR,n.pr/
Wall Street Journal,wsj.com/news/technology,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com/business/technology,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com/tech,(at)HuffingtonPost,huff.to/
Reuters,reuters.com/news/technology,(at)ReutersTech,reut.rs/
Bloomberg,bloomberg.com/technology,(at)Bloomberg,bloom.bg/
Fox News,foxnews.com/tech,(at)FoxNews,fxn.ws/
CNN,cnn.com/tech,"(at)CNN, (at)cnnbrk",cnn.it/
Gawker,gawker.com/tag/technology,(at)Gawker,gaw.kr/
USA Today,usatoday.com/tech,(at)USATODAY,usat.ly
Los Angeles Times,latimes.com/business/technology,(at)latimes,lat.ms/
Vox,vox.com/technology,(at)voxdotcom,bit.ly/
BBC,bbc.com/news/technology,"(at)BBC, (at)BBCTech",bbc.in/
Al-Jazeera (English),aljazeera.com/topics/categories/science-and-technology,(at)AJEnglish,aje.io/
Mother Jones,motherjones.com/topics/tech,(at)MotherJones,mojo.ly/
CBS News,cbsnews.com/tech,(at)CBSSciTech,cbsn.ws/
The Guardian,theguardian.com/us/technology,(at)guardian,t.gu.com/
NBC News,nbcnews.com/tech,(at)NBCNewsTech,nbcnews.to/
The Atlantic,theatlantic.com/technology,(at)TheAtlantic,theatln.tc/
Slate,slate.com/articles/technology,(at)Slate,slate.me/
Buzzfeed,buzzfeed.com/tech,(at)fwd,bzfd.it/
The Independent,independent.co.uk/life-style/gadgets-and-tech,(at)Independent,ind.pn/
The Intercept,theintercept.com,(at)the_intercept,interc.pt/
ABC News,abcnews.go.com/Technology,(at)TechThisOutABC,abcn.ws/
Christian Science Monitor,csmonitor.com/Technology/Tech-Culture,(at)csmonitor,trib.al/
Discovery News,news.discovery.com,(at)DNews,dne.ws/
Examiner.com,examiner.com/tech,(at)examinercom,exm.nr/
Newsmax,newsmax.com/ScienceTechnology,(at)Newsmax_Media,ift.tt/
Newsweek,newsweek.com/tech-science,(at)Newsweek,bit.ly/
San Francisco Chronicle,sfgate.com/technology,(at)SFGate,sfg.ly/
The Telegraph,telegraph.co.uk/technology,(at)Telegraph,bit.ly/
Time,time.com/tech,(at)TIME,ti.me/
Washington Times,washingtontimes.com/culture/technology,(at)WashTimes,goo.gl/
The Week,theweek.com/section/tech,(at)TheWeek,bit.ly/
PRI,pri.org/sections/science-tech-environment,(at)PRI,trib.al/
New York Post,nypost.com/tech,(at)nypost,nyp.st/
SeattleTimes.com,seattletimes.com/business/technology,(at)seattletimes,seati.ms/
Forbes,forbes.com/technology,(at)Forbes,onforb.es/
The Daily Beast,thedailybeast.com/tech-and-health,(at)thedailybeast,thebea.st/
